Name,Type,TTL,Target,Priority
,A,3600,216.218.216.163,
API,A,3600,216.218.216.163,
API-DEV,A,3600,216.218.228.93,
API.DEV,A,3600,216.218.228.93,
CHAT,A,3600,216.218.228.93,
DEV,A,3600,216.218.228.93,
GIT,A,3600,216.218.228.93,
MATRIX,A,3600,216.218.228.93,
MAIL,A,3600,216.218.228.93,
S3,A,3600,216.218.228.93,
S3-ADMIN,A,3600,216.218.228.93,
STORE,A,3600,216.218.228.93,
STORE-ADMIN-8B56411B,A,3600,216.218.228.93,
STORE-API,A,3600,216.218.228.93,
WWW,A,3600,216.218.216.163,
WWW.DEV,A,3600,216.218.228.93,
autoconfig,CNAME,3600,mail.nutra.tk.,
autodiscover,CNAME,3600,mail.nutra.tk.,
,MX,3600,mail.nutra.tk,10
,TXT,3600,google-site-verification=kxGS8ZR9OjzDU8gXJoXOYZ5CdVSpfZkgEHxdsQIOwf0,
,TXT,3600,v=spf1 mx -all,
202601r._domainkey,TXT,3600,v=DKIM1; k=rsa; h=sha256; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAl1UMAM/8TzsSrz6685IaVKP0bJDDk+KabhtleGwfu36vTVr1cAZUBNuOQM1E71ZWXgIhL17AYKEzFoUpppRPebYi8DT36dIbD9x9vGBbJRj15DXHtiQFI/d6vDtMbOuPnjuzkLqdrdAhQd63M9Q74XCQ9rl2RZSo5rvv5p6TzHfbrmmglhZ2Pn/T4YCyLJsIIBfFZk5b1cf8bE55FRkvr6OjzTo/0XgG0LHxyik47zSTJtgevG/Tn3IrasjXl0rJ1DSiNrUlxiucMrLo1Dz9Zgj2F0wJKo1ArYZCxD0EMkeZbpLiNQaw7LYaN0l7X8s0/Yqy6erF34C4V3SJmVfTUQIDAQAB,
202601e._domainkey,TXT,3600,v=DKIM1; k=ed25519; h=sha256; p=tdz42Z02H1X8uR1csPWGi5AnaTAo5kvu3X8I2qAyBWc=,
_DMARC,TXT,3600,v=DMARC1; p=quarantine; rua=mailto:postmaster@nutra.tk,
